Title,Price,State,Shipping Fee,Country
Apple iPhone SE 2nd Gen 2020 64GB 128GB - Unlocked AT&T T-Mobile Verizon Sprint,$270.95 to $285.95,Pre-Owned,+$75.00 shipping,from United States
Apple iPhone XS - 64 GB - Gold (GSM Unlocked) A1920,$489.00,Brand New,+$95.00 shipping,from United States
Apple iPhone 12 - 64GB - Black (Unlocked),$363.00,Pre-Owned,Free International Shipping,from United States
Apple iPhone 7 32GB 128GB All Colours Unlocked Smartphone - Excellent Condition,$153.14 to $186.43,Pre-Owned,+$13.30 shipping,from United Kingdom
New ListingiPhone XR 64GB Black *BRAND NEW* ,$425.00,Brand New,+$21.00 shipping,from United States
New ListingApple iPhone 12 Pro - 512GB-Gold (without Simlock),$409.16,Pre-Owned,+$34.00 shipping,from Germany
New ListingApple iPhone 11 Pro Max - 256GB - Gold originally Verizon (Unlocked) Gently used,$400.00,Pre-Owned,+$40.15 shipping,from United States
Apple iPhone 12 Pro Max - 256GB - Pacific Blue (Unlocked),$800.00,New (Other),+$17.30 shipping,from United Kingdom
New ListingIphone 8 plus silver 64gb unlocked,$679.19,Pre-Owned,Free International Shipping,from Germany
New ListingApple iPhone 8 - Refurbished - Mint Condintion - 64GB - Gold (Unlocked) A1905,$679.19,Pre-Owned,+$53.27 shipping,from United Kingdom
at&t iphone 10 8 7 plus 11 12 pro max xs xr x  apple Factory Unlock Service att,$266.35,Brand New,Free International Shipping,from United States
New ListingApple iPhone 8 64GB Unlocked A1905 GSM - Space Gray,$9.95,Pre-Owned,+$35.00 shipping,from Canada
New ListingiPhone 7,$1.00,Pre-Owned,+$46.00 shipping,from United States
New ListingApple iPhone XR - 64gb-Black,$100.00,Pre-Owned,+$22.67 shipping,from Italy
New ListingApple iPhone SE 2nd Gen 2020 64GB 128GB Unlocked Smartphone Pristine Condition,$90.67,Pre-Owned,+$33.29 shipping,from United Kingdom
New ListingIphone 8 Plus 256GB Silver Excellent,$372.82,Pre-Owned,+$45.32 shipping,from Germany
New ListingApple iPhone 11 Pro Max - 256GB-Space Grey (without Simlock) A2218 (CDMA + GSM),$340.01,Pre-Owned,+$16.94 shipping,from Germany
